Key,English,Translation
dashboard,Dashboard,
herd_data,Herd Data,
feed,Feed,
herd_activities,Herd Activities,
financials,Financials,
human_resources,Human Resources,
market,Market,
symptoms_analyzer,Symptoms Analyzer,
weight_checker,Weight Checker,
training,Training,
settings,Settings,
sign_out,Sign Out,
app_name,SmartSwine,
welcome_to,Welcome to,
app_tagline,"The Only Tool a Pig Farmer Needs.\nFarm Smarter, Not Harder.",
upcoming_activities,UPCOMING ACTIVITIES,
quick_access,QUICK ACCESS,
add_pig,Add Pig(s),
feed_calc,Feed Calculator,
formulator,Formulator,
login,Login,
create_account,Create Account,
email,Email,
password,Password,
first_name,First Name,
last_name,Last Name,
farm_name,Farm Name,
country,Country,
select_language,Select Language,
forgot_password,Forgot Password?,
search_country,Search country...,
keep_typing,Keep typing to find your country...,
create_account_btn,Create Account,
login_btn,Login,
no_account,New Here? Click to Sign Up,
have_account,Already have an account? Login,
confirm_password,Confirm Password,
reset_password_title,Reset Password,
reset_password_msg,Enter your email to receive a reset link.,
reset_link_sent,Reset link sent!,
send_btn,Send,
close_btn,Close,
fill_all_fields,Please fill in all fields,
passwords_mismatch,Passwords do not match,
password_short,Password must be at least 6 characters,
login_failed,Login failed,
signup_failed,Signup failed,
profile_save_failed,Account created but profile saving failed,
home,Home,
account,Account,
edit_profile,Edit Profile,
edit_profile_subtitle,Update your farm and personal details,
preferences,Preferences,
push_notifications,Push Notifications,
push_notifications_subtitle,Receive alerts for tasks and reports,
notif_upcoming,Upcoming Activity,
notif_due_today,Activity Due Today,
notif_overdue,PAST-DUE Activity,
notif_msg_in_2_days,Reminder: %s is in 2 days.,
notif_msg_tomorrow,Reminder: %s is tomorrow.,
notif_msg_today,Reminder: %s is scheduled for today!,
notif_msg_yesterday,Urgent: %s was due yesterday!,
notif_msg_overdue,Urgent: %s is now 2 days overdue!,
notif_summary,You have %d farm activities to check.,
dark_mode,Dark Mode,
dark_mode_subtitle,Toggle dark theme for the app,
weaning,Weaning,
farrowing,Farrowing,
iron_injection,Iron Injection,
porker_status,Porker's Status,
breeder_status,Breeder's Status,
terminology_classification,Terminology & Classification,
currency,Currency,
data_management,Data Management,
about,About,
terms_of_service,Terms of Service,
privacy_policy,Privacy Policy,
wean_at,Wean piglets at,
days,days,
sows_farrow_at,Sows farrow at,
iron_administered_on,Iron administered on day,
after_birth,after birth,
and,and,
age_weeks,Age (weeks),
weight_kg,Weight (kg),
starter,Starter,
grower,Grower,
finisher,Finisher,
above,above,
piglet,Piglet,
weaners,Weaners,
boar_gilt,Boar/Gilt,
castrated_male_is_barrow,Castrated Male is Barrow,
automatically_set_barrow,Automatically set status to 'Barrow' if castrated,
farrowing_female_is_sow,Farrowing Female is Sow,
automatically_set_sow,Automatically set status to 'Sow' if farrowing history exists,
gilt_classification,Gilt Classification,
gilt_classification_subtitle,Female over %s weeks with no birth history,
currency_unit,Currency Unit,
currency_display,Display currency as %s (%s),
sync_with_cloud,Sync with Cloud,
syncing,Syncing Data...,
last_synced,Last synced: %s,
never,Never,
clear_herd_data,Clear Herd Data,
clear_herd_subtitle,Remove all active and archived pig records,
clear_financials,Clear Financials,
clear_financials_subtitle,Remove all income and expense records,
clear_feed_data,Clear Feed Data,
clear_feed_subtitle,Reset ingredients and requirements,
clear_hr_staff,Clear HR & Staff,
clear_hr_subtitle,Remove all staff records and salary logs,
factory_reset,Factory Reset,
factory_reset_subtitle,Wipe all farm data and start fresh,
app_version,App Version %s,
no_upcoming_activities,No upcoming activities,
your_farm,Your Farm,
user,User,
general,General,
general_task,General Task,
feed_pigs,Feed Pigs,
good_morning,Good morning,
good_afternoon,Good afternoon,
good_evening,Good evening,
subscription,Subscription,
profile,Profile,
weeks,weeks,
kg,kg,
herd_data_title,HERD DATA,
export_pdf,Export All PDF,
add_pig_btn,Add Pig(s),
no_pigs_yet,No pigs in the herd yet.,
no_matching_pigs,No matching pigs found.,
search_placeholder,"Search by Tag, Breed, or Location",
all_filter,All,
archived_pigs_title,Archived Pigs,
archived_pigs_subtitle,View culled or sold animals,
total_pigs,Total number of Pigs: %d,
breeders_porkers_summary,Breeders: %d | Porkers: %d,
total_breeders,Total Number of Breeders: %d,
breeders_stats_detail,Piglet: %d | Starter: %d | Grower: %d | Boar: %d | Gilt: %d\nPregnant: %d | Lactating: %d | Sow: %d,
total_porkers,Total Number of Porkers: %d,
porkers_stats_detail,Starter: %d | Grower: %d | Finisher: %d,
no_archived_pigs,No archived pigs found.,
add_multiple_pigs,Add Multiple Pigs,
add_new_pig,Add New Pig,
single,Single,
multiple,Multiple,
tag_number,Tag Number,
dob,Date of Birth,
breed,Breed,
gender,Gender,
male,Male,
female,Female,
castrated_q,Castrated?,
castrated_label,(Castrated),
yes,Yes,
no,No,
castration_date,Date of Castration,
has_farrowed,Has Farrowed? (Sow),
weight_kg_label,Weight (kg),
purpose,Purpose,
breeder,Breeder,
porker,Porker,
sow_tag,Sow Tag,
boar_tag,Boar Tag,
location_pen,Location (Pen #),
source,Source,
born_on_farm,Born on farm,
brought_to_farm,Brought to farm,
purchase_price,Purchase Price,
qty,Qty,
tag_hash,Tag #,
weight,Weight,
pen_hash,Pen #,
males,Males,
females,Females,
notes,Notes,
ok,OK,
cancel,Cancel,
add,Add,
dismiss,Dismiss,
future_birth,Future Birth,
less_than_1_month, < 1 month,
months,months,
years_abbr,yr,
