Key,Type,English,French,Chinese,Spanish,Filipino,Vietnamese,Thai,Portuguese,Hindi,Swahili,Indonesian,Creole,Burmese
dashboard,main,Dashboard,Tableau de bord,仪表板,Tablero,Dashboard,Bảng điều khiển,แผงควบคุม,Painel,डैशबोर्ड,Dashibodi,Dasbor,Dachboard,ဒိုင်ခွက်
herd_data,main,Herd Data,Données du troupeau,猪群数据,Datos del ganado,Datos ng Kawan,Dữ liệu đàn,ข้อมูลฝูงสัตว์,Dados do Rebanho,पशु झुंड डेटा,Data ya mifugo,Data Kawanan,Done twoupo yo,ဟာ့ဒေ
feed,main,Feed,Alimentation,饲料,Alimentación,Pagkain,Thức ăn,อาหารสัตว์,Alimentação,चारा,Kulisha,Memberi makan,Manje,ကျွေးပါ။
herd_activities,main,Herd Activities,Activités du troupeau,猪群活动,Actividades,Aktibidad ng Kawan,Hoạt động đàn,กิจกรรมในฝูง,Atividades do Rebanho,झुंड की गतिविधियाँ,Shughuli za Mifugo,Aktivitas Kawanan,Aktivite twoupo yo,နွားလှုပ်ရှားမှုများ
financials,main,Financials,Finances,财务,Finanzas,Pinansyal,Tài chính,การเงิน,Finanças,वित्तीय,Fedha,Keuangan,Finansye,ငွေရေးကြေးရေး
human_resources,main,Human Resources,Ressources humaines,人力资源,Recursos humanos,Yamang Tao,Nhân sự,ทรัพยากรบุคคล,Recursos Humanos,मानव संसाधन,Rasilimali Watu,Sumber daya manusia,Resous Imèn,လူ့အင်အားအရင်းအမြစ်
market,main,Local Hub,Hub Local,本地中心,Centro Local,Lokal na Hub,Trung tâm địa phương,ศูนย์กลางท้องถิ่น,Hub Local,स्थानीय केंद्र,Kitovu cha Karibu,Pusat Lokal,Sant lokal,Local Hub
symptoms_analyzer,main,Symptoms Analyzer,Analyseur de symptômes,症状分析器,Analizador de síntomas,Tagasuri ng Sintomas,Bộ phân tích triệu chứng,เครื่องวิเคราะห์อาการ,Analisador de Sintomas,लक्षण विश्लेषक,Kichambuzi cha Dalili,Penganalisis Gejala,Sentòm analizeur,ရောဂါလက္ခဏာများကို ဆန်းစစ်ခြင်း
weight_checker,main,Weight Checker,Vérificateur de poids,体重检查器,Control de peso,Tagasuri ng Timbang,Kiểm tra cân nặng,ตรวจสอบน้ำหนัก,Verificador de Peso,वजन जाँचकर्ता,Kikagua Uzito,Pemeriksa Berat Badan,Pwa Checker,အလေးချိန်စစ်ဆေးပါ။
training,main,Training,Formation,培训,Capacitación,Pagsasanay,Đào tạo,การฝึกอบรม,Treinamento,प्रशिक्षण,Mafunzo,Pelatihan,Fòmasyon,လေ့ကျင့်ရေး
settings,main,Settings,Paramètres,设置,Ajustes,Mga Setting,Cài đặt,การตั้งค่า,Configurações,सेटिंग्स,Mipangilio,Pengaturan,Anviwònman,ဆက်တင်များ
sign_out,main,Sign Out,Se déconnecter,登出,Cerrar sesión,Mag-sign Out,Đăng xuất,ออกจากระบบ,Sair,साइन आउट,Ondoka,Keluar,Sign Out,ဆိုင်းအောက်
app_name,main,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,SmartSwine,Babi Cerdas,SmartSwine,SmartSwine
welcome_to,main,Welcome to,Bienvenue à,欢迎来到,Bienvenido a,Maligayang pagdating sa,Chào mừng đến với,ยินดีต้อนรับสู่,Bem-vindo ao,स्वागत है,Karibu kwa,Selamat Datang di,Byenveni nan,မှကြိုဆိုပါတယ်။
app_tagline,main,"The Only Tool a Pig Farmer Needs.\nFarm Smarter, Not Harder.","Le seul outil dont un éleveur de porcs a besoin.\nÉlevez plus intelligemment, pas plus durement.",养猪人所需的唯一工具。\n智慧养殖，事半功倍。,"La única herramienta que un criador de cerdos necesita.\nCríe de forma más inteligente, no con más esfuerzo.","Ang tanging tool na kailangan ng isang magbababoy.\nMag-alaga nang mas matalino, hindi mas mahirap.","Công cụ duy nhất mà người chăn nuôi heo cần.\nChăn nuôi thông minh hơn, không vất vả hơn.",เครื่องมือเดียวที่ผู้เลี้ยงหมูต้องการ\nทำฟาร์มอย่างชาญฉลาด ไม่ใช่ทำงานหนัก,"A única ferramenta que um suinocultor precisa.\nProduza de forma mais inteligente, não mais difícil.",आपका पेशेवर सुअर पालन सहायक।,"Zana Pekee Ambayo Mfugaji wa Nguruwe Anahitaji.\nFarm Smarter, Not Harder.","Satu-satunya Alat yang Dibutuhkan Peternak Babi.\nBeternak Lebih Cerdas, Bukan Lebih Keras.","Sèl zouti yon kiltivatè kochon bezwen.\nFèm pi entelijan, pa pi rèd.",ဝက်မွေးမြူရေးသမားလိုအပ်သော တစ်ခုတည်းသောကိရိယာ။\nပိုမိုထက်မြက်သော၊ မခက်ပါ။
upcoming_activities,main,UPCOMING ACTIVITIES,ACTIVITÉS À VENIR,即将进行的活动,ACTIVIDADES PRÓXIMAS,MGA DARATING NA AKTIBIDAD,HOẠT ĐỘNG SẮP TỚI,กิจกรรมที่กำลังจะมาถึง,ATIVIDADES PRÓXIMAS,आगामी गतिविधियाँ,SHUGHULI ZINAZOkuja,KEGIATAN MENDATANG,AKTIVITE YO YO,လာမည့် လှုပ်ရှားမှုများ
quick_access,main,QUICK ACCESS,ACCÈS RAPIDE,快速访问,ACCESO RÁPIDO,MABILIS NA ACCESS,TRUY CẬP NHANH,การเข้าถึงด่วน,ACESSO RÁPIDO,त्वरित पहुँच,UPATIKANAJI WA HARAKA,AKSES CEPAT,AKSÈ RAPID,အမြန်ဝင်ရောက်ခွင့်
add_pig,main,Add Pig(s),Ajouter un porc,添加猪,Añadir cerdo,Magdagdag ng Baboy,Thêm heo,เพิ่มสุกร,Adicionar Porco(s),सूअर जोड़ें,Ongeza Nguruwe,Tambahkan Babi,Ajoute kochon (yo),ဝက်(များ) ထည့်ပါ
feed_calc,main,Feed Calculator,Calc. d'alim.,饲料计算,Calc. Alim.,Kalkulator ng Pagkain,Máy tính thức ăn,เครื่องคำวณอาหาร,Calc. Alimentação,चारा कैलकुलेटर,Kikokotoo cha Kulisha,Kalkulator Umpan,Feed Calculator,Feed Calculator
formulator,main,Formulator,Formulateur,配方器,Formulador,Formulator,Công thức,สูตรอาหาร,Formulador,फॉर्मुलेटर,Kiundaji,perumus,Fòmilatè,ဖော်မြူလာ
login,main,Login,Connexion,登录,Iniciar sesión,Mag-login,Đăng nhập,เข้าสู่ระบบ,Login,लॉगिन,Ingia,Login,Konekte,လော့ဂ်အင်
create_account,main,Create Account,Créer un compte,创建账户,Crear cuenta,Gumawa ng Account,Tạo tài khoản,สร้างบัญชี,Criar Conta,खाता बनाएँ,Fungua Akaunti,Buat Akun,Kreye Kont,အကောင့်ပြုလုပ်ပါ
